Original Index,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Writer,Actors,IMDb Score,Release Date,Summary
12720,A Love So Beautiful,"Comedy, Romance","Romantic TV Shows,TV Dramas,TV Shows,Asian TV Shows,Romantic TV Dramas,Teen TV Shows,Chinese TV Shows,TV Shows Based on Books",Chinese,Series,< 30 minutes,,,"Yitian Hu, Shen Yue",8.1,09 Nov 2017,"The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbor."
13522,Are We Done Yet?,"Comedy, Family, Fantasy","Family Features,Family Comedies,Children & Family Films,Comedies,Films for ages 11 to 12",English,Movie,1-2 hour,Steve Carr,"Hank Nelken, Norman Panama, Melvin Frank, Claudia Grazioso, Steven Gary Banks","Ice Cube, Aleisha Allen, John C. McGinley, Nia Long",4.3,04 Apr 2007,"A newlywed couple moves into a fixer-upper in the suburbs, but their happy new life together is thrown into disarray by an oddball contractor."
13552,Twisted,"Crime, Drama, Mystery, Thriller","Thrillers,Crime Thrillers,Mysteries,Psychological Thrillers,Crime Movies,US Movies","English, Italian, Spanish",Movie,1-2 hour,Philip Kaufman,Sarah Thorp,"Andy Garcia, Ashley Judd, Samuel L. Jackson, David Strathairn",5.3,27 Feb 2004,"Jessica, a cop, is more dedicated to her job than most of her colleagues, as she feels she has a lot to make up for: Her father was a serial killer."
13561,Shaft,"Action, Crime, Thriller","Action Thrillers,Action & Adventure,Crime Action & Adventure,Police Action & Adventure,Police Movies,Crime Films,US Movies","English, German, Spanish",Movie,1-2 hour,John Singleton,"Richard Price, Ernest Tidyman, John Singleton, Shane Salerno","Samuel L. Jackson, Christian Bale, Vanessa Williams, Jeffrey Wright",5.9,16 Jun 2000,"New York police detective John Shaft arrests Walter Wade Jr. for murder, but he jumps bail to Switzerland, returning to face trial two years later."
13603,The Fierce Wife,Drama,"Drama Programmes,Romantic TV Dramas,Chinese  Programmes,Taiwanese TV Programmes",Mandarin,Series,< 30 minutes,,,"Sheng-hao Wen, Karen Ying-Chen Hu, Sonia Sui, Amanda Chu",6.6,05 Nov 2010,Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.
13676,We Are Family,"Comedy, Drama, Family","Dramas,International Dramas,International Movies,Bollywood Films,Tearjerkers,Indian Films,Hindi-language Films",Hindi,Movie,1-2 hour,Siddharth Malhotra,Niranjan Iyengar,"Arjun Rampal, Amrita Prakash, Kareena Kapoor, Kajol",5.6,10 Sep 2010,A divorced mother of three children runs a happy household -- until her former husband brings his new career-oriented girlfriend into the picture.
13721,Rage,"Action, Crime, Thriller","Gangster Films,Action Thrillers,Action & Adventure,Crime Action & Adventure,Crime Films",English,Movie,1-2 hour,Paco Cabezas,"Jim Agnew, Sean Keller","Rachel Nichols, Nicolas Cage, Max Ryan, Michael McGrady",5.0,09 May 2014,"When his daughter is abducted, a respectable businessman with a violent past rounds up his old crew to help him find her -- by any means necessary."
14374,Friday,"Comedy, Drama","Comedies,Laugh-Out-Loud Comedies,Late Night Comedies,Cult Films,Cult Comedies",English,Movie,1-2 hour,F. Gary Gray,"Ice Cube, DJ Pooh","Ice Cube, Chris Tucker, Tom Lister Jr., Nia Long",7.3,26 Apr 1995,"Over the course of one Friday afternoon, two pot-smoking friends get into some crazy trouble in their South Central L.A. neighborhood."
14410,Tidal Wave,"Action, Drama","International Movies,Action Thrillers,Asian Movies,Action & Adventure","Korean, English",Movie,> 2 hrs,JK Youn,JK Youn,"Park Myeong-hoon, Lee Min-ki, Kim Yoo-Jeong, Ha Ji-Won",5.6,22 Jul 2009,"Authorities ignore a scientists warning of an impending tsunami -- but when his prediction comes true, the locals must scramble to survive."
14465,Stand by Me,"Adventure, Drama","Dramas,Dramas based on a book,Action & Adventure,Adventures,Films Based on Books,Classic Dramas,Classic Films,Classic Action & Adventure",English,Movie,1-2 hour,Rob Reiner,"Bruce A. Evans, Stephen King, Raynold Gideon","Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",8.1,22 Aug 1986,"When four boys seek adventure in the woods while looking for a missing teenagers dead body, they learn some truths about themselves along the way."
14556,One Day,"Drama, Romance","Romantic Dramas,Dramas,Dramas based on a book,Romantic Films,Movies Based on Books,Tearjerkers,US Movies",English,Movie,1-2 hour,Lone Scherfig,David Nicholls,"Anne Hathaway, Tom Mison, Jodie Whittaker, Jim Sturgess",7.0,19 Aug 2011,"After a brief college romance, Emma and Dexter pursue separate dreams, but meet on the same day each year to compare their progress in life and love."
14672,The Addams Family,"Comedy, Fantasy","Comedies,Dark Comedies,Sci-Fi & Fantasy,Fantasy Movies,Laugh-Out-Loud Comedies,US Movies","English, Italian, French",Movie,1-2 hour,Barry Sonnenfeld,"Charles Addams, Caroline Thompson, Larry Wilson","Raul Julia, Anjelica Huston, Christopher Lloyd, Dan Hedaya",6.9,22 Nov 1991,"Stepping out of the pages of Charles Addams cartoons and the 1960s television series, members of the beloved, macabre family take to the big screen."
14721,Tomb Raider,"Action, Adventure, Fantasy, Thriller","Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Fantasy,Action Thrillers,Adventures,Action & Adventure,Comic Book and Superhero Films,Blockbuster Action & Adventure,Action","English, Cantonese, Hindi",Movie,1-2 hour,Roar Uthaug,"Evan Daugherty, Alastair Siddons, Geneva Robertson-Dworet","Walton Goggins, Alicia Vikander, Daniel Wu, Dominic West",6.3,16 Mar 2018,"Lara Croft, skilled in hand-to-hand combat, must recover antiquities lost in a secret society. She meets her match in the evil Powell."
14770,Anastasia,"Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance","Children & Family Films,Films for ages 8 to 10,Family Animation,Films for ages 5 to 7,Musicals,Kids&#39; Music,Music & Musicals,US Movies","English, Russian, French",Movie,1-2 hour,"Don Bluth, Gary Goldman","Bruce Graham, Noni White, Eric Tuchman, Bob Tzudiker, Susan Gauthier","Christopher Lloyd, Kelsey Grammer, Meg Ryan, John Cusack",7.2,21 Nov 1997,"Anya grows up in an orphanage and has no idea thats shes really Anastasia, the long-lost daughter of Russias last czar."
14783,Once Upon a Time,"Adventure, Fantasy, Romance","US TV Programmes,TV Dramas,TV Programmes,TV Sci-Fi & Fantasy,Fantasy TV Shows",English,Series,< 30 minutes,,"Adam Horowitz, Edward Kitsis","Jared Gilmore, Lana Parrilla, Jennifer Morrison, Robert Carlyle",7.7,23 Oct 2011,"In this fantasy series, a young woman is drawn to a small Maine town and discovers that its filled with elements of the fairy tale world."
14884,Rogue,"Action, Adventure, Drama, Horror, Thriller","Horror Films,Action & Adventure,Australian Movies",English,Movie,1-2 hour,Greg McLean,Greg McLean,"Caroline Brazier, Michael Vartan, Sam Worthington, Radha Mitchell",6.2,08 Nov 2007,"While cruising the waters of an Australian lake, a jaded American journalist and his outback tour guide fend off a giant man-eating crocodile."
15014,What If,"Comedy, Romance","Independent Films,Romantic Independent Films,Romantic Comedies,Independent Comedies,Comedies,Romantic Films,Canadian Films",English,Movie,1-2 hour,Michael Dowse,"Elan Mastai, Michael Rinaldi, T.J. Dawe","Daniel Radcliffe, Zoe Kazan, Adam Driver, Megan Park",6.8,15 Aug 2014,"When a medical school dropout meets an animator living with her boyfriend, tensions grow when they suspect they could be more than just friends."
15046,Secret Garden,"Comedy, Drama, Fantasy, Romance","TV Comedies,TV Dramas,TV Programmes,TV Sci-Fi & Fantasy,Romantic TV Dramas,Korean TV Shows,Fantasy TV Shows,Romantic Favourites,Romantic TV Comedies",Korean,Series,< 30 minutes,,,"Sa-rang Kim, Hyun Bin, Yoon Sang-Hyun, Ha Ji-Won",8.2,,A wealthy man and a poor stunt girl fall in love. But things get complicated when their souls become inexplicably swapped and dark secrets surface.
15231,The Way Back,"Adventure, Drama, History","Dramas,Military Dramas,Military Action & Adventure,Dramas based on a book,Dramas based on classic literature,Adventures,Action & Adventure,Movies Based on Books,Historical Dramas","English, Russian, Polish, Tibetan, Mongolian",Movie,> 2 hrs,Peter Weir,"Slavomir Rawicz, Keith R. Clarke, Peter Weir","Dragos Bucur, Ed Harris, Colin Farrell, Alexandru Potocean",7.3,21 Jan 2011,"After escaping from a World War II labor camp, a band of soldiers undertake a journey to traverse Siberia, the Gobi Desert and the Himalayas."
